name,main_ctgr,sub_ctgr,tag,desc,amount,date
elden ring,entertainment,game,steam,123,1290,2022/3/29
restaurant,Food and Drinks,dinner,Takeout,,40,2022/3/30
Rent,Rent or Mortgage,Rent,haha,,1500,2022/3/15
fuel_1,Transportation,car,fuel,,50,2022/3/20
fuel_2,Transportation,car,fuel,,1200,
fuel_3,Transportation,car,fuel,,,2022/3/21
maintenance,Transportation,car,maintenance,change engine,10000,2022/3/21
Doctor's Consultation Fee,,Medical Expenses,haha,,50,2022/3/20
fuel_4,Transportation,motor,fuel,,1000,2022/3/21
fuel_5,Transportation,car,fuel,,100,2022/6/5
fuel_6,Transportation,car,fuel,,1500,2023/5/21
fuel_7,Transportation,motor,fuel,,99,2023/7/18
fuel_8,,car,fuel,,20,20220318
